52,52,52,52,52,50,50,50,1,0,1,50,50,50,50,52,52,52
52,52,50,50,50,50,50,1,0,0,1,1,1,1,50,50,52,52
52,52,50,50,50,50,1,1,0,0,0,36,37,1,1,50,50,52
52,50,50,50,50,50,1,0,0,0,0,0,1,1,1,50,50,52
52,50,50,50,50,1,26,0,0,0,0,1,15,1,1,50,50,52
52,50,50,50,50,14,1,24,0,0,0,27,38,39,13,50,50,52
52,52,50,50,50,50,1,1,1,0,0,1,1,1,50,50,52,52
52,52,50,50,50,38,39,50,1,0,0,1,1,50,50,52,52,52
52,50,50,50,50,50,50,50,1,0,0,0,3,12,50,50,52,52
50,50,50,24,1,1,50,50,50,0,0,0,15,1,50,50,50,52
50,50,50,1,0,0,1,50,1,0,0,0,1,50,50,50,50,52
50,50,50,1,0,0,0,0,0,0,0,0,1,1,50,50,50,50
50,50,50,1,0,0,1,0,0,0,0,0,1,1,50,50,50,50
50,50,50,1,0,0,0,1,0,1,1,2,1,50,50,50,50,50
52,50,50,50,14,1,0,0,0,15,24,1,50,50,50,50,50,52
52,52,50,50,50,50,1,0,0,14,1,1,50,50,50,50,52,52
52,52,50,50,50,1,0,0,0,0,1,1,1,1,50,50,50,52
52,50,50,50,38,39,0,0,0,0,0,0,24,50,50,50,50,52
52,50,50,50,50,50,1,0,0,0,0,25,15,13,50,50,52,52
52,52,52,50,50,36,37,1,0,0,1,1,50,50,50,52,52,52
