30,30,30,30,29,29,29,29,30,30,30,29,29,29,29,30,29,-1,-1,-1,-1,-1,-1,29,29,29
29,29,29,30,30,29,29,30,30,29,30,30,30,30,30,30,16,-1,-1,-1,-1,-1,-1,-1,29,29
29,30,30,30,30,29,29,30,30,30,30,29,29,16,-1,-1,-1,-1,-1,-1,-1,-1,40,29,30,30
30,30,29,29,29,29,29,29,30,30,30,29,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,29,30
30,30,29,29,29,30,30,29,30,29,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,29
30,29,16,29,30,30,29,29,30,18,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,29
30,-1,-1,-1,-1,29,29,29,30,18,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,30,30,29,29
29,-1,-1,-1,-1,16,29,30,30,18,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,40,29,30,30,29
-1,-1,-1,-1,40,-1,-1,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,29,29,29
-1,-1,-1,-1,-1,-1,40,29,-1,16,-1,-1,-1,16,-1,-1,-1,-1,-1,29,29,29,29,29,29,29
-1,-1,-1,-1,-1,40,-1,-1,-1,17,-1,-1,-1,17,-1,-1,-1,-1,-1,29,30,29,30,30,29,29
-1,-1,-1,-1,-1,16,17,17,16,-1,-1,-1,-1,-1,17,17,16,-1,16,29,30,30,29,30,30,30
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,29,29,30,30,29,30,30,30
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,29,29,30,30,30,30,30,29,29,30,30
-1,-1,-1,16,29,-1,17,17,16,-1,-1,-1,-1,-1,29,29,18,29,29,30,29,30,29,29,30,29
29,18,16,29,-1,-1,-1,-1,-1,17,-1,-1,-1,16,-1,-1,-1,16,30,29,29,29,29,29,29,29
30,29,30,30,29,-1,-1,-1,-1,17,-1,-1,-1,17,-1,-1,-1,-1,18,18,29,29,30,30,30,29
29,29,30,30,30,29,29,-1,-1,17,-1,-1,-1,17,-1,-1,-1,-1,-1,40,18,29,29,29,30,29
29,30,30,30,30,29,-1,-1,-1,-1,-1,-1,-1,-1,17,16,-1,-1,16,-1,-1,29,29,30,30,29
30,30,29,30,30,29,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,18,16,29,29,29
30,30,29,29,29,29,29,30,30,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,30,30,29,29,29
30,30,29,30,30,30,30,30,30,30,29,29,40,53,-1,-1,-1,-1,-1,-1,16,29,30,30,29,29
